geography code,total,OW,SO,SR,PR
E02002555,4137,1677,1759,206,36
E02002556,2726,889,1548,20,24
E02002557,4792,748,3458,31,15
E02002558,4145,1667,1621,277,44
E02001682,3431,1128,1287,770,28
E02001683,4002,1419,1667,442,23
E02001684,3311,585,843,1324,31
E02001685,3612,627,1212,1463,28
E02001686,3168,1141,1259,477,28
E02001688,3799,410,1003,1703,37
E02001689,3351,500,772,985,36
E02001690,3325,974,1169,714,38
E02001691,3876,730,1014,591,39
E02001692,2765,355,680,1442,15
E02001693,2633,466,670,1274,18
E02001694,2814,902,1122,483,23
E02001695,2702,809,1235,481,12
E02001696,4065,875,1210,1749,40
E02001697,3386,1120,1495,402,26
E02001698,3202,1724,1119,162,31
E02001699,3124,771,1071,1039,25
E02001700,4585,1501,1930,794,47
E02001701,2763,1201,1141,163,28
E02001702,3522,587,780,1951,25
E02001703,2435,947,894,459,10
E02001704,3380,805,954,1397,40
E02001705,3200,1051,1003,619,35
E02001706,2924,697,886,1123,34
E02001707,3599,980,1309,886,38
E02006841,3949,296,790,1585,54
E02006842,2231,480,682,463,21
E02001708,4122,1286,1698,643,25
E02001709,4218,1539,1683,179,25
E02001710,4381,989,1174,1732,61
E02001711,4129,874,1229,1648,53
E02001712,4214,1367,1538,453,43
E02001713,4389,1607,1678,462,40
E02001714,3901,1443,1735,173,46
E02001715,4712,893,1408,1888,61
E02001718,2427,467,741,979,39
E02001719,3759,1300,1414,463,55
E02001720,3343,663,610,165,42
E02001721,4647,1288,1528,1352,55
E02001722,4195,1122,1347,1364,61
E02001723,2575,556,861,721,27
E02001724,3575,632,664,363,37
E02001725,4536,411,777,1362,50
E02001726,4687,1154,1573,1290,63
E02001727,3877,1141,1264,1098,50
E02001728,4248,1137,1576,987,60
E02001729,4145,609,632,1416,58
E02001730,4835,443,633,1788,82
E02001731,5587,339,559,2520,80
E02001732,2193,468,595,859,22
E02001733,5675,737,1054,2871,68
E02001734,3233,614,787,1331,55
E02001735,2884,250,448,1960,34
E02001736,4959,559,784,2241,111
E02001737,2968,272,401,2032,92
E02006893,4739,2098,1795,510,46
E02001738,2471,1427,881,27,22
E02001739,3355,772,1297,1034,16
E02001740,2294,958,1082,62,18
E02001741,3283,1423,1183,367,33
E02001742,2604,1025,1175,172,11
E02001743,3195,902,1386,200,35
E02001744,2877,842,1178,568,29
E02001745,2786,662,1198,691,16
E02001746,3598,1086,1450,531,34
E02001747,2880,1425,1018,197,26
E02001748,3253,644,1417,792,30
E02001749,2772,760,1182,576,21
E02001750,2841,1198,1138,288,30
E02001751,2716,825,1007,660,26
E02001752,2789,642,884,988,22
E02001753,3230,1003,994,551,58
E02001754,2849,1008,1152,138,20
E02001755,3500,1108,1492,515,22
E02001756,4391,682,1411,1831,27
E02001757,2753,1044,956,524,20
E02001758,2450,676,1082,523,17
E02001759,3261,770,1181,419,34
E02001760,3471,549,818,1477,47
E02001761,2448,738,897,612,23
E02001762,2471,846,1182,226,15
E02001763,2882,498,893,1205,32
E02001764,3883,389,987,1693,29
E02001765,3312,404,1021,1297,26
E02001766,3295,579,1141,626,31
E02001767,3385,726,1216,887,38
E02001768,3812,910,1415,721,31
E02001769,3973,616,729,1778,52
E02001770,3035,917,1212,240,33
E02001771,2806,812,800,1037,26
E02001772,2467,764,856,451,15
E02001773,2381,1155,895,182,32
E02001774,2559,470,751,998,23
E02001775,2450,456,749,1081,26
E02001776,3729,718,1228,1310,36
E02001777,2897,620,1235,672,15
E02001778,2939,544,908,738,27
E02001779,2519,492,637,1156,14
E02001780,2318,632,608,959,15
E02001781,2567,463,648,1305,18
E02001782,3835,926,1184,1508,35
E02001783,2980,502,810,1446,25
E02001784,2970,625,894,1297,22
E02001785,3555,1086,1185,1069,28
E02001786,3178,735,1015,1248,17
E02001787,2457,662,842,799,8
E02001788,2636,622,1003,737,27
E02001789,2471,1288,1017,30,18
E02001790,2633,988,1006,442,32
E02001791,2427,1158,1048,45,23
E02001792,3048,1472,1246,78,20
E02001793,3822,542,971,1912,13
E02001794,3732,788,933,1700,22
E02001795,3577,799,914,1183,25
E02001796,4426,1345,1403,683,55
E02001797,2486,928,1077,299,18
E02001798,3445,785,1115,1256,30
E02001799,4424,789,1248,1780,25
E02001800,3014,654,1156,947,16
E02001801,2515,594,866,247,29
E02001802,2638,403,667,1308,11
E02001803,4188,530,673,1136,40
E02001804,2706,658,969,839,15
E02001805,2501,1085,877,178,19
E02001806,4143,637,802,1451,30
E02001807,3027,657,1143,907,16
E02001808,2468,851,949,64,30
E02001809,2881,926,1030,694,23
E02001810,3699,818,1612,969,13
E02001811,4087,992,1109,1698,30
E02001812,4354,2142,1680,70,37
E02001813,4318,655,1050,2261,42
E02001814,2762,753,931,755,26
E02001815,4244,1328,1838,808,31
